audio_id,arousal,valence
husky_train_00000,High,Positive
husky_train_00001,High,Positive
husky_train_00002,Low,Neutral
husky_train_00003,Low,Neutral
husky_train_00004,Medium,Positive
husky_train_00005,Medium,Positive
husky_train_00006,Medium,Positive
husky_train_00007,Low,Neutral
husky_train_00008,Low,Negative
husky_train_00009,Medium,Positive
husky_train_00010,Medium,Positive
husky_train_00011,High,Positive
husky_train_00012,Low,Neutral
husky_train_00013,Medium,Neutral
husky_train_00014,Medium,Positive
husky_train_00015,High,Positive
husky_train_00016,Medium,Positive
husky_train_00017,Medium,Positive
husky_train_00018,High,Positive
husky_train_00019,High,Positive
husky_train_00020,Medium,Neutral
husky_train_00021,Medium,Positive
husky_train_00022,Low,Neutral
husky_train_00023,Medium,Positive
husky_train_00024,Medium,Positive
husky_train_00025,High,Positive
husky_train_00026,High,Positive
husky_train_00027,Medium,Neutral
husky_train_00028,Low,Negative
husky_train_00029,Medium,Neutral
husky_train_00030,High,Positive
husky_train_00031,Medium,Neutral
husky_train_00032,Medium,Neutral
husky_train_00033,High,Positive
husky_train_00034,Medium,Neutral
husky_train_00035,Medium,Neutral
husky_train_00036,Medium,Positive
husky_train_00037,High,Positive
husky_train_00038,Medium,Neutral
husky_train_00039,Medium,Neutral
husky_train_00040,Low,Neutral
husky_train_00041,High,Positive
husky_train_00042,High,Neutral
husky_train_00043,Low,Neutral
husky_train_00044,High,Positive
husky_train_00045,High,Positive
husky_train_00046,Medium,Positive
husky_train_00047,High,Positive
husky_train_00048,High,Positive
husky_train_00049,High,Negative
husky_train_00050,High,Positive
husky_train_00051,Medium,Neutral
husky_train_00052,High,Positive
husky_train_00053,Medium,Positive
husky_train_00054,Low,Neutral
husky_train_00055,Medium,Neutral
husky_train_00056,Medium,Neutral
husky_train_00057,Medium,Positive
husky_train_00058,Medium,Positive
husky_train_00059,Medium,Negative
husky_train_00060,Medium,Neutral
husky_train_00061,Medium,Negative
husky_train_00062,Low,Neutral
husky_train_00063,Medium,Positive
husky_train_00064,Low,Neutral
husky_train_00065,Low,Neutral
husky_train_00066,Medium,Positive
husky_train_00067,Medium,Neutral
husky_train_00068,Medium,Neutral
husky_train_00069,Low,Neutral
husky_train_00070,Medium,Positive
husky_train_00071,High,Negative
husky_train_00072,Medium,Neutral
husky_train_00073,Medium,Negative
husky_train_00074,High,Positive
husky_train_00075,Medium,Negative
husky_train_00076,Medium,Negative
husky_train_00077,Medium,Neutral
husky_train_00078,High,Positive
husky_train_00079,Low,Positive
husky_train_00080,Medium,Neutral
husky_train_00081,Low,Neutral
husky_train_00082,Low,Negative
husky_train_00083,Low,Neutral
husky_train_00084,Medium,Positive
husky_train_00085,Medium,Negative
husky_train_00086,High,Positive
husky_train_00087,Medium,Neutral
husky_train_00088,Medium,Positive
husky_train_00089,High,Neutral
husky_train_00090,Medium,Positive
husky_train_00091,High,Positive
husky_train_00092,Medium,Positive
husky_train_00093,Low,Neutral
husky_train_00094,Low,Neutral
husky_train_00095,Medium,Neutral
husky_train_00096,Low,Neutral
husky_train_00097,High,Positive
husky_train_00098,Medium,Neutral
husky_train_00099,Medium,Positive
husky_train_00100,Medium,Neutral
husky_train_00101,High,Positive
husky_train_00102,Low,Neutral
husky_train_00103,High,Positive
husky_train_00104,Medium,Neutral
husky_train_00105,High,Positive
husky_train_00106,High,Positive
husky_train_00107,High,Positive
husky_train_00108,Medium,Negative
husky_train_00109,Medium,Positive
husky_train_00110,Medium,Positive
husky_train_00111,High,Positive
husky_train_00112,Low,Neutral
husky_train_00113,Medium,Positive
husky_train_00114,Medium,Negative
husky_train_00115,Medium,Negative
husky_train_00116,Medium,Negative
husky_train_00117,Medium,Positive
