audio_id,arousal,valence
shiba_train_00000,Low,Neutral
shiba_train_00001,Medium,Neutral
shiba_train_00002,Medium,Neutral
shiba_train_00003,Low,Neutral
shiba_train_00004,Low,Neutral
shiba_train_00005,Medium,Neutral
shiba_train_00006,Medium,Neutral
shiba_train_00007,Low,Negative
shiba_train_00008,High,Negative
shiba_train_00009,Low,Neutral
shiba_train_00010,Low,Neutral
shiba_train_00011,High,Positive
shiba_train_00012,Low,Neutral
shiba_train_00013,Low,Neutral
shiba_train_00014,Medium,Neutral
shiba_train_00015,Low,Neutral
shiba_train_00016,Medium,Positive
shiba_train_00017,Medium,Negative
shiba_train_00018,Medium,Neutral
shiba_train_00019,Low,Neutral
shiba_train_00020,Medium,Positive
shiba_train_00021,Low,Neutral
shiba_train_00022,High,Positive
shiba_train_00023,High,Positive
shiba_train_00024,Low,Neutral
shiba_train_00025,Medium,Neutral
shiba_train_00026,High,Positive
shiba_train_00027,High,Neutral
shiba_train_00028,Low,Neutral
shiba_train_00029,Medium,Neutral
shiba_train_00030,Low,Neutral
shiba_train_00031,Medium,Positive
shiba_train_00032,High,Positive
shiba_train_00033,High,Positive
shiba_train_00034,Medium,Positive
shiba_train_00035,Low,Neutral
shiba_train_00036,High,Positive
shiba_train_00037,High,Positive
shiba_train_00038,High,Positive
shiba_train_00039,Medium,Neutral
shiba_train_00040,Medium,Positive
shiba_train_00041,Low,Neutral
shiba_train_00042,Low,Neutral
shiba_train_00043,High,Positive
shiba_train_00044,Low,Neutral
shiba_train_00045,High,Negative
shiba_train_00046,Medium,Positive
shiba_train_00047,Low,Neutral
shiba_train_00048,Low,Neutral
shiba_train_00049,High,Positive
shiba_train_00050,High,Positive
shiba_train_00051,Medium,Neutral
shiba_train_00052,Low,Neutral
shiba_train_00053,Medium,Neutral
shiba_train_00054,Low,Neutral
shiba_train_00055,Low,Negative
shiba_train_00056,Medium,Positive
shiba_train_00057,High,Neutral
shiba_train_00058,High,Positive
shiba_train_00059,High,Positive
shiba_train_00060,High,Positive
shiba_train_00061,Medium,Positive
shiba_train_00062,High,Positive
shiba_train_00063,High,Positive
shiba_train_00064,Medium,Positive
shiba_train_00065,High,Positive
shiba_train_00066,Low,Neutral
shiba_train_00067,Medium,Positive
shiba_train_00068,Low,Neutral
shiba_train_00069,Low,Negative
shiba_train_00070,High,Positive
shiba_train_00071,Low,Negative
shiba_train_00072,High,Positive
shiba_train_00073,High,Positive
shiba_train_00074,Medium,Neutral
shiba_train_00075,Low,Neutral
shiba_train_00076,Low,Neutral
shiba_train_00077,High,Positive
shiba_train_00078,Medium,Positive
shiba_train_00079,High,Positive
shiba_train_00080,High,Positive
shiba_train_00081,Low,Neutral
shiba_train_00082,Medium,Neutral
shiba_train_00083,Low,Neutral
shiba_train_00084,Low,Neutral
shiba_train_00085,Low,Neutral
shiba_train_00086,Low,Neutral
shiba_train_00087,Medium,Neutral
shiba_train_00088,Low,Neutral
shiba_train_00089,Low,Neutral
shiba_train_00090,Low,Neutral
shiba_train_00091,Medium,Positive
shiba_train_00092,Low,Neutral
shiba_train_00093,Low,Negative
shiba_train_00094,Low,Neutral
shiba_train_00095,Low,Neutral
shiba_train_00096,High,Positive
shiba_train_00097,Low,Neutral
shiba_train_00098,Medium,Positive
shiba_train_00099,Low,Negative
shiba_train_00100,Low,Negative
shiba_train_00101,High,Positive
shiba_train_00102,Low,Neutral
shiba_train_00103,Medium,Positive
shiba_train_00104,Medium,Positive
shiba_train_00105,Low,Neutral
shiba_train_00106,Medium,Negative
shiba_train_00107,High,Positive
shiba_train_00108,High,Positive
shiba_train_00109,Medium,Positive
shiba_train_00110,Medium,Neutral
shiba_train_00111,High,Positive
shiba_train_00112,Low,Neutral
shiba_train_00113,Low,Neutral
shiba_train_00114,Medium,Positive
shiba_train_00115,Low,Neutral
shiba_train_00116,High,Negative
shiba_train_00117,High,Positive
shiba_train_00118,Low,Neutral
shiba_train_00119,Low,Neutral
shiba_train_00120,High,Negative
shiba_train_00121,High,Positive
shiba_train_00122,Low,Neutral
shiba_train_00123,Low,Neutral
shiba_train_00124,High,Negative
shiba_train_00125,Low,Neutral
shiba_train_00126,Low,Neutral
shiba_train_00127,Medium,Positive
shiba_train_00128,Low,Neutral
shiba_train_00129,Medium,Positive
shiba_train_00130,High,Positive
shiba_train_00131,High,Negative
shiba_train_00132,Low,Negative
shiba_train_00133,Medium,Negative
shiba_train_00134,Low,Neutral
shiba_train_00135,High,Negative
shiba_train_00136,Medium,Positive
shiba_train_00137,Low,Neutral
shiba_train_00138,High,Positive
shiba_train_00139,Low,Positive
shiba_train_00140,Low,Positive
shiba_train_00141,Medium,Neutral
shiba_train_00142,Low,Positive
shiba_train_00143,Low,Neutral
shiba_train_00144,Low,Neutral
shiba_train_00145,Medium,Positive
shiba_train_00146,Low,Neutral
shiba_train_00147,Medium,Positive
shiba_train_00148,High,Positive
shiba_train_00149,High,Negative
shiba_train_00150,Low,Neutral
shiba_train_00151,High,Positive
shiba_train_00152,High,Positive
shiba_train_00153,Low,Neutral
shiba_train_00154,High,Positive
shiba_train_00155,Low,Positive
shiba_train_00156,High,Positive
shiba_train_00157,Low,Negative
shiba_train_00158,Low,Negative
shiba_train_00159,Low,Neutral
shiba_train_00160,Low,Neutral
shiba_train_00161,High,Positive
shiba_train_00162,Low,Positive
shiba_train_00163,Medium,Positive
shiba_train_00164,High,Positive
shiba_train_00165,Medium,Positive
shiba_train_00166,Low,Negative
shiba_train_00167,High,Positive
shiba_train_00168,High,Negative
shiba_train_00169,Low,Neutral
shiba_train_00170,Low,Negative
shiba_train_00171,Low,Positive
shiba_train_00172,Low,Neutral
shiba_train_00173,Medium,Positive
shiba_train_00174,High,Positive
shiba_train_00175,High,Positive
shiba_train_00176,Medium,Neutral
shiba_train_00177,Low,Negative
shiba_train_00178,High,Neutral
shiba_train_00179,High,Positive
shiba_train_00180,Medium,Positive
shiba_train_00181,Medium,Neutral
shiba_train_00182,Medium,Positive
shiba_train_00183,Low,Neutral
shiba_train_00184,High,Positive
shiba_train_00185,Low,Positive
shiba_train_00186,Low,Neutral
shiba_train_00187,High,Positive
shiba_train_00188,High,Positive
shiba_train_00189,High,Positive
shiba_train_00190,High,Negative
shiba_train_00191,Low,Negative
shiba_train_00192,High,Positive
shiba_train_00193,High,Negative
shiba_train_00194,High,Positive
shiba_train_00195,High,Neutral
shiba_train_00196,High,Positive
shiba_train_00197,Low,Negative
shiba_train_00198,Low,Neutral
shiba_train_00199,Medium,Neutral
shiba_train_00200,Medium,Negative
shiba_train_00201,High,Positive
shiba_train_00202,High,Positive
shiba_train_00203,High,Positive
shiba_train_00204,High,Negative
shiba_train_00205,Medium,Positive
shiba_train_00206,Low,Negative
shiba_train_00207,High,Positive
shiba_train_00208,Medium,Positive
shiba_train_00209,Low,Positive
shiba_train_00210,Medium,Positive
shiba_train_00211,Medium,Negative
shiba_train_00212,Medium,Negative
shiba_train_00213,High,Neutral
shiba_train_00214,Low,Negative
shiba_train_00215,Low,Neutral
shiba_train_00216,High,Negative
shiba_train_00217,Medium,Positive
shiba_train_00218,High,Positive
shiba_train_00219,Low,Negative
shiba_train_00220,Medium,Negative
shiba_train_00221,Low,Negative
shiba_train_00222,Low,Neutral
shiba_train_00223,Low,Neutral
shiba_train_00224,Low,Neutral
shiba_train_00225,Low,Neutral
shiba_train_00226,Low,Neutral
shiba_train_00227,High,Positive
shiba_train_00228,High,Positive
shiba_train_00229,Low,Neutral
shiba_train_00230,Low,Neutral
shiba_train_00231,High,Positive
shiba_train_00232,High,Positive
shiba_train_00233,Medium,Neutral
shiba_train_00234,High,Negative
shiba_train_00235,High,Positive
shiba_train_00236,High,Negative
shiba_train_00237,Medium,Neutral
shiba_train_00238,Medium,Negative
shiba_train_00239,High,Neutral
shiba_train_00240,High,Positive
shiba_train_00241,High,Positive
shiba_train_00242,High,Negative
shiba_train_00243,Low,Neutral
shiba_train_00244,Low,Positive
shiba_train_00245,Medium,Positive
shiba_train_00246,Low,Neutral
shiba_train_00247,Low,Negative
shiba_train_00248,Low,Neutral
shiba_train_00249,Low,Neutral
shiba_train_00250,High,Negative
shiba_train_00251,Low,Neutral
shiba_train_00252,High,Positive
shiba_train_00253,High,Positive
shiba_train_00254,High,Positive
shiba_train_00255,Medium,Negative
shiba_train_00256,Low,Positive
shiba_train_00257,Medium,Positive
shiba_train_00258,Low,Neutral
shiba_train_00259,High,Negative
shiba_train_00260,High,Positive
shiba_train_00261,High,Positive
shiba_train_00262,Low,Neutral
shiba_train_00263,Medium,Neutral
shiba_train_00264,Low,Neutral
shiba_train_00265,Low,Neutral
shiba_train_00266,Low,Negative
shiba_train_00267,High,Positive
shiba_train_00268,Low,Neutral
shiba_train_00269,Low,Neutral
shiba_train_00270,Low,Neutral
shiba_train_00271,Medium,Positive
shiba_train_00272,Low,Negative
shiba_train_00273,High,Negative
shiba_train_00274,Low,Neutral
shiba_train_00275,High,Positive
shiba_train_00276,Medium,Neutral
shiba_train_00277,High,Negative
shiba_train_00278,Low,Neutral
shiba_train_00279,Low,Positive
shiba_train_00280,Low,Neutral
shiba_train_00281,High,Positive
shiba_train_00282,Low,Negative
shiba_train_00283,High,Positive
shiba_train_00284,High,Positive
shiba_train_00285,Medium,Positive
shiba_train_00286,Low,Neutral
shiba_train_00287,Low,Positive
shiba_train_00288,High,Positive
shiba_train_00289,Medium,Neutral
shiba_train_00290,Low,Neutral
shiba_train_00291,High,Neutral
shiba_train_00292,Medium,Negative
shiba_train_00293,Medium,Positive
shiba_train_00294,High,Positive
shiba_train_00295,High,Positive
shiba_train_00296,Low,Positive
shiba_train_00297,High,Positive
shiba_train_00298,High,Positive
shiba_train_00299,High,Neutral
shiba_train_00300,High,Negative
shiba_train_00301,High,Negative
shiba_train_00302,High,Positive
shiba_train_00303,High,Neutral
shiba_train_00304,Low,Neutral
shiba_train_00305,Low,Neutral
shiba_train_00306,High,Positive
shiba_train_00307,Medium,Positive
shiba_train_00308,High,Positive
shiba_train_00309,Low,Negative
shiba_train_00310,High,Positive
shiba_train_00311,High,Positive
shiba_train_00312,Medium,Negative
shiba_train_00313,Medium,Negative
shiba_train_00314,Low,Positive
shiba_train_00315,Medium,Negative
shiba_train_00316,Low,Positive
shiba_train_00317,High,Neutral
shiba_train_00318,High,Neutral
shiba_train_00319,High,Positive
shiba_train_00320,High,Positive
shiba_train_00321,High,Negative
shiba_train_00322,High,Positive
shiba_train_00323,High,Neutral
shiba_train_00324,Medium,Neutral
shiba_train_00325,Low,Neutral
shiba_train_00326,Low,Positive
shiba_train_00327,Medium,Positive
shiba_train_00328,Medium,Negative
shiba_train_00329,Medium,Neutral
shiba_train_00330,Medium,Negative
shiba_train_00331,Medium,Negative
shiba_train_00332,Low,Neutral
shiba_train_00333,Low,Neutral
shiba_train_00334,Low,Negative
shiba_train_00335,Medium,Neutral
shiba_train_00336,High,Negative
shiba_train_00337,Medium,Negative
shiba_train_00338,High,Positive
shiba_train_00339,Medium,Negative
shiba_train_00340,High,Positive
shiba_train_00341,Medium,Negative
shiba_train_00342,Medium,Neutral
shiba_train_00343,Medium,Positive
shiba_train_00344,Low,Positive
